City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,0,Fort Saint James,CA,29.1,overcast clouds,54.4333,-124.25,The View Hotel
2,2,New Norfolk,AU,50.0,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
5,5,East London,ZA,69.8,clear sky,-33.0153,27.9116,Tu Casa
6,6,Mataura,NZ,63.0,overcast clouds,-46.1927,168.8643,Ellie's Villa
7,7,Punta Arenas,CL,60.8,overcast clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
10,10,Ushuaia,AR,59.0,broken clouds,-54.8,-68.3,Albatros Hotel
12,12,Hilo,US,69.8,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
14,14,Bluff,NZ,63.0,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
15,15,Torbay,CA,33.01,snow,47.6666,-52.7314,Gallows Cove
16,16,Yanai,JP,42.8,broken clouds,33.9667,132.1167,柳井シティホテル
32,32,Narsaq,GL,23.0,broken clouds,60.9167,-46.05,Hotel Narsaq
33,33,Longyearbyen,SJ,17.6,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
34,34,Tasiilaq,GL,30.2,light snow,65.6145,-37.6368,The Red House
35,35,Zamosc,PL,17.6,light snow,50.7231,23.252,Hotel Renesans w Zamościu
40,40,Shirvan,AZ,47.05,scattered clouds,39.9509,48.8994,Nəriman Nərimanov küçəsi Şirvan Azərbaycan
43,43,Korla,CN,20.68,clear sky,41.7597,86.1469,Gulisitan Hotel
47,47,Fortuna,US,48.0,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
49,49,Punta Gorda,US,64.4,broken clouds,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
50,50,Nemuro,JP,24.87,scattered clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
51,51,Ribeira Grande,PT,62.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
53,53,Mayo,US,42.01,clear sky,38.8876,-76.5119,Resorts Resource Group International
57,57,Dauphin,CA,19.4,clear sky,51.1494,-100.0502,Canway Inn & Suites
62,62,Hobart,AU,50.0,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
65,65,Busselton,AU,64.99,clear sky,-33.65,115.3333,Observatory Guest House
66,66,Lexington,US,33.01,light snow,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
67,67,Brae,GB,44.6,light rain,60.3964,-1.3530000000000002,Busta House Hotel
69,69,Sunagawa,JP,19.0,scattered clouds,43.4864,141.9056,静香荘
74,74,Kapaa,US,69.8,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
75,75,Lebu,CL,60.4,clear sky,-37.6167,-73.65,Hostal Las Lilas
79,79,Yabrud,SY,51.8,scattered clouds,33.9674,36.6574,صالون مها حيدر - Salon Maha
80,80,Cabo San Lucas,MX,57.2,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
81,81,Krasnovishersk,RU,9.01,snow,60.4078,57.082,Vishera
