City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Fort Saint James,CA,54.4333,-124.25,29.1,95,100,2.46,overcast clouds
1,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,77,90,11.5,light snow
2,New Norfolk,AU,-42.7826,147.0587,50.0,66,25,3.0,scattered clouds
3,Atuona,PF,-9.8,-139.0333,77.45,77,1,13.27,clear sky
4,Kavaratti,IN,10.5669,72.642,82.27,77,10,9.42,clear sky
5,East London,ZA,-33.0153,27.9116,69.8,68,0,27.63,clear sky
6,Mataura,NZ,-46.1927,168.8643,63.0,85,100,3.0,overcast clouds
7,Punta Arenas,CL,-53.15,-70.9167,60.8,59,90,14.97,overcast clouds
8,Yellowknife,CA,62.456,-114.3525,-0.4,78,90,8.05,light snow
9,Bilibino,RU,68.0546,166.4372,-16.33,85,100,0.63,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,59.0,63,75,4.61,broken clouds
11,Mahebourg,MU,-20.4081,57.7,82.4,78,40,8.05,scattered clouds
12,Hilo,US,19.7297,-155.09,69.8,60,90,8.05,overcast clouds
13,Albany,US,42.6001,-73.9662,35.01,89,100,5.03,light rain
14,Bluff,NZ,-46.6,168.3333,63.0,85,99,3.0,light rain
15,Torbay,CA,47.6666,-52.7314,33.01,93,90,25.32,snow
16,Yanai,JP,33.9667,132.1167,42.8,52,75,4.61,broken clouds
17,Barrow,US,71.2906,-156.7887,-2.2,78,90,17.27,haze
18,Beringovskiy,RU,63.05,179.3167,-10.68,89,94,11.43,overcast clouds
19,Kruisfontein,ZA,-34.0033,24.7314,78.01,50,0,13.0,clear sky
20,Rostovka,RU,55.3842,71.8891,14.94,94,100,13.44,overcast clouds
21,Bredasdorp,ZA,-34.5322,20.0403,78.8,41,0,20.71,clear sky
22,Benjamin Constant,BR,-4.3831,-70.0311,82.4,89,75,3.44,light rain
23,Saint-Philippe,RE,-21.3585,55.7679,82.4,83,0,14.97,clear sky
24,Dikson,RU,73.5069,80.5464,-31.79,79,17,8.52,few clouds
25,Saskylakh,RU,71.9167,114.0833,-9.83,89,100,8.48,overcast clouds
26,Port Elizabeth,ZA,-33.918,25.5701,73.4,64,0,37.98,clear sky
27,Ippy,CF,6.2679,21.2247,97.99,14,70,3.91,broken clouds
28,Rikitea,PF,-23.1203,-134.9692,77.45,71,25,0.98,light rain
29,Leningradskiy,RU,69.3833,178.4167,-19.25,87,100,1.92,overcast clouds
30,Caravelas,BR,-17.7125,-39.2481,84.69,56,4,10.92,clear sky
31,Ransang,PH,8.9603,117.5828,77.2,87,100,3.24,overcast clouds
32,Narsaq,GL,60.9167,-46.05,23.0,80,75,1.14,broken clouds
33,Longyearbyen,SJ,78.2186,15.6401,17.6,79,75,5.75,broken clouds
34,Tasiilaq,GL,65.6145,-37.6368,30.2,93,75,14.97,light snow
35,Zamosc,PL,50.7231,23.252,17.6,100,90,5.75,light snow
36,Cairns,AU,-16.9167,145.7667,78.8,89,40,8.05,scattered clouds
37,Kudahuvadhoo,MV,2.6708,72.8944,81.82,71,43,8.95,scattered clouds
38,Vysokogornyy,RU,50.1167,139.15,-19.75,86,91,3.15,overcast clouds
